en,uri,unique,dctsource-suffix,dctsource,super,source,
Provide means for scheduling patients' appointments,ProvideMeansForSchedulingPatientsAppointments,ProvideMeansForSchedulingPatientsAppointments,ProvideMeansForSchedulingPatientsAppointments,bb:ProvideMeansForSchedulingPatientsAppointments,SchedulingAndResourceAllocation,,
Provide means for ordering transport services,ProvideMeansForOrderingTransportServices,ProvideMeansForOrderingTransportServices,ProvideMeansForOrderingTransportServices,bb:ProvideMeansForOrderingTransportServices,SchedulingAndResourceAllocation,,AdministrativeAdmission
Retrieve patient,RetrievePatient,RetrievePatient,RetrievePatient,bb:RetrievePatient,PatientIdentificationAndCheckingForRecurrent,,AdministrativeDischargeAndBilling
Generate a unique PIN and a CIN,GenerateAUniquePinAndACin,GenerateAUniquePinAndACin,,,PatientIdentificationAndCheckingForRecurrent,,AppointmentScheduling
Administrate the master patient index (MPI),AdministrateTheMasterPatientIndexMpi,AdministrateTheMasterPatientIndexMpi,,,PatientIdentificationAndCheckingForRecurrent,,ArchivingOfPatientInformation
"Provide forms for entering or updating patient administrative information (name,address, birth date, relatives, admission diagnosis etc.)",ProvideFormsForEnteringOrUpdatingPatientAdministrativeInformationNameaddressBirthDateRelativesAdmissionDiagnosisEtc,ProvideFormsForEnteringOrUpdatingPatientAdministrativeInformationNameaddressBirthDateRelativesAdmissionDiagnosisEtc,,,AdministrativeAdmission,,CodingOfDiagnosesAndProcedures
Merge patient information from two records,MergePatientInformationFromTwoRecords,MergePatientInformationFromTwoRecords,MergePatientInformationFromTwoRecords,bb:MergePatientInformationFromTwoRecords,AdministrativeAdmission,,Controlling
Provide means for ordering patient transfer within the institution,ProvideMeansForOrderingPatientTransferWithinTheInstitution,ProvideMeansForOrderingPatientTransferWithinTheInstitution,ProvideMeansForOrderingPatientTransferWithinTheInstitution,bb:ProvideMeansForOrderingPatientTransferWithinTheInstitution,AdministrativeAdmission,,DecisionMakingAndPatientInformation
Admit patients to the ward,AdmitPatientsToTheWard,AdmitPatientsToTheWard,AdmitPatientsToTheWard,bb:AdmitPatientsToTheWard,AdministrativeAdmission,,DecisionMakingAndPlanningOfPatientTreatment
Assign patients to rooms and beds,AssignPatientsToRoomsAndBeds,AssignPatientsToRoomsAndBeds,AssignPatientsToRoomsAndBeds,bb:AssignPatientsToRoomsAndBeds,AdministrativeAdmission,,ExecutionOfClinicalTrialsAndExperiments
Provide means for preparing hospital wide statistics,ProvideMeansForPreparingHospitalWideStatistics,ProvideMeansForPreparingHospitalWideStatistics,ProvideMeansForPreparingHospitalWideStatistics,bb:ProvideMeansForPreparingHospitalWideStatistics,AdministrativeAdmission,,ExecutionOfDiagnosticTherapeuticAndNursingProcedures
Provide relatives with information on the location of a patient,ProvideRelativesWithInformationOnTheLocationOfAPatient,ProvideRelativesWithInformationOnTheLocationOfAPatient,ProvideRelativesWithInformationOnTheLocationOfAPatient,bb:ProvideRelativesWithInformationOnTheLocationOfAPatient,VisitorAndInformationService,,
Provide catalogs and other means for coding patients' diagnoses,ProvideCatalogsAndOtherMeansForCodingPatientsDiagnoses,ProvideCatalogsAndOtherMeansForCodingPatientsDiagnoses,ProvideCatalogsAndOtherMeansForCodingPatientsDiagnoses,bb:ProvideCatalogsAndOtherMeansForCodingPatientsDiagnoses,CodingOfDiagnosesAndProcedures,,ExecutionOfLabExaminations
Provide catalogs and other means for coding patient-related procedures,ProvideCatalogsAndOtherMeansForCodingPatientrelatedProcedures,ProvideCatalogsAndOtherMeansForCodingPatientrelatedProcedures,,,CodingOfDiagnosesAndProcedures,,ExecutionOfNursingProcedures
Provide means for verifying codings done in departments,ProvideMeansForVerifyingCodingsDoneInDepartments,ProvideMeansForVerifyingCodingsDoneInDepartments,,,CodingOfDiagnosesAndProcedures,,ExecutionOfOperations
Provide forms for preparing a bill for the patient insurance,ProvideFormsForPreparingABillForThePatientInsurance,ProvideFormsForPreparingABillForThePatientInsurance,ProvideFormsForPreparingABillForThePatientInsurance,bb:ProvideFormsForPreparingABillForThePatientInsurance,CodingOfDiagnosesAndProcedures,,ExecutionOfRadiologicalExaminations
Provide means for initiation of final billing,ProvideMeansForInitiationOfFinalBilling,ProvideMeansForInitiationOfFinalBilling,ProvideMeansForInitiationOfFinalBilling,bb:ProvideMeansForInitiationOfFinalBilling,AdministrativeDischargeAndBilling,,FacilityManagement
Provide reminder for fulfilling of legal reporting requirements,ProvideReminderForFulfillingOfLegalReportingRequirements,ProvideReminderForFulfillingOfLegalReportingRequirements,ProvideReminderForFulfillingOfLegalReportingRequirements,bb:ProvideReminderForFulfillingOfLegalReportingRequirements,AdministrativeDischargeAndBilling,,FinancialAccounting
Provide forms for documenting medical anamnesis,ProvideFormsForDocumentingMedicalAnamnesis,ProvideFormsForDocumentingMedicalAnamnesis,ProvideFormsForDocumentingMedicalAnamnesis,bb:ProvideFormsForDocumentingMedicalAnamnesis,MedicalAdmission,,HospitalManagement
Provide forms for documenting diagnosis,ProvideFormsForDocumentingDiagnosis,ProvideFormsForDocumentingDiagnosis,ProvideFormsForDocumentingDiagnosis,bb:ProvideFormsForDocumentingDiagnosis,MedicalAdmission,,HumanResourcesManagement
Scanning documents from referring physician and other sources,ScanningDocumentsFromReferringPhysicianAndOtherSources,ScanningDocumentsFromReferringPhysicianAndOtherSources,ScanningDocumentsFromReferringPhysicianAndOtherSources,bb:ScanningDocumentsFromReferringPhysicianAndOtherSources,MedicalAdmission,,ManagementOfMedicalDevices
