"n
",en,uri,super,supertype
6.3.1.1.1,Provide means for check-in of patient,ProvideMeansForCheckinOfPatient,MedicalAdmission,EnterpriseFunctionClassified
6.3.1.1.2,Provide forms for documenting medical anamnesis,ProvideFormsForDocumentingMedicalAnamnesis,MedicalAdmission,EnterpriseFunctionClassified
6.3.1.1.3,Provide forms for documenting diagnosis,ProvideFormsForDocumentingDiagnosis,MedicalAdmission,
,,,,EnterpriseFunctionClassified
6.3.1.2.1,Provide forms for documenting patients informed consent,ProvideFormsForDocumentingPatientsInformedConsent,DecisionMakingAndPatientInformation,EnterpriseFunctionClassified
,,,,
6.3.1.4.1,Display vital parameters from monitoring devices,DisplayVitalParametersFromMonitoringDevices,ExecutionOfOperations,EnterpriseFunctionClassified
6.3.1.4.2,Provide forms for documenting procedures and outcomes,ProvideFormsForDocumentingProceduresAndOutcomes,ExecutionOfOperations,EnterpriseFunctionClassified
,,,,
6.3.1.5.1,Provide catalogs and other means for coding diagnoses,ProvideCatalogsAndOtherMeansForCodingDiagnoses,CodingOfDiagnosesAndProcedures,EnterpriseFunctionClassified
6.3.1.5.2,Provide catalogs and other means for coding procedures,ProvideCatalogsAndOtherMeansForCodingProcedures,CodingOfDiagnosesAndProcedures,EnterpriseFunctionClassified
6.3.1.5.3,Provide means for creating statistics,ProvideMeansForCreatingStatistics,CodingOfDiagnosesAndProcedures,EnterpriseFunctionClassified
,,,,
6.3.1.6.1,Provide forms for preparing operation reports,ProvideFormsForPreparingOperationReports,PatientDischargeAndTransferToOtherInstitutions,EnterpriseFunctionClassified
6.3.1.6.2,Provide means for ordering patient transfer to ward,ProvideMeansForOrderingPatientTransferToWard,PatientDischargeAndTransferToOtherInstitutions,EnterpriseFunctionClassified
,,,,
6.3.2.1.1,Provide means for managing rooms,ProvideMeansForManagingRooms,SupplyAndDisposalManagement,EnterpriseFunctionClassified
,,,,
6.3.2.2.1,Provide means for managing appointments,ProvideMeansForManagingAppointments,SchedulingAndResourceAllocation,EnterpriseFunctionClassified
6.3.2.2.2,Provide means for managing medical devices,ProvideMeansForManagingMedicalDevices,SchedulingAndResourceAllocation,EnterpriseFunctionClassified
6.3.2.2.3,"Provide means for ordering drugs, materials and laundry",ProvideMeansForOrderingDrugsMaterialsAndLaundry,SchedulingAndResourceAllocation,EnterpriseFunctionClassified
6.3.2.2.4,"Provide means for creating operation plans (daily, weekly)",ProvideMeansForCreatingOperationPlansDailyWeekly,SchedulingAndResourceAllocation,EnterpriseFunctionClassified
,,,,
6.3.2.3.1,Provide means for preparing work schedules,ProvideMeansForPreparingWorkSchedules,WorkSchedulingAndTimeManagement,EnterpriseFunctionClassified
