n,Header,Feature,synonyms,en,uri,super,comment,definition
CP,Care Provision,,Care Provision,CP Care Provision,EhrSfmCareProvision,,,
CP.1,Manage Clinical History,,Manage Clinical History,CP.1 Manage Clinical History,EhrSfmManageClinicalHistory,EhrSfmCareProvision,Manage the patient's clinical history lists used to present summary or detailed information on patient health history.,"Patient Clinical History lists are used to present succinct ""snapshots"" of critical health information including patient history; allergy, intolerance and adverse reactions; medications; problems; strengths; immunizations; medical equipment/devices; and patient and family preferences."
CP.1.1,,Manage Patient History,Manage Patient History,CP.1.1 Manage Patient History,EhrSfmManagePatientHistory,EhrSfmManageClinicalHistory,"Manage medical, procedural/surgical, mental health, substance use, social and family history. This includes pertinent positive and negative histories, patient-reported or externally available patient clinical history.","The history of the current illness and patient historical data related to previous medical diagnoses, surgeries and other procedures performed on the patient, clinicians involved in procedures or in past consultations, and relevant health conditions of family members is captured through such methods as patient reporting (e.g., interview, medical alert band) or electronic or non-electronic historical data. This data may take the form of a pertinent positive such as ""The patient/family member has had..."" or a pertinent negative such as ""The patient/family member has not had..."". When first seen by a health care provider, patients typically bring with them clinical information from past encounters. This and similar information may supplement locally captured documentation and notes wherever appropriate. Information regarding the patient's living situations may be an important means for a provider to uniquely identify a patient or to identify illnesses that may occur within a given proximity. Information regarding past or present living situations or environmental factors related to the patient or the fetal death may include a description of the father's type of occupation and occupational demographic information (such as the name and location of the employment). For example, it may be important for the clinician to know that the patient works in an occupation where lead exposure is common. It may also be important for the clinician to know that the patient lives in a household where asbestos routinely appears on clothing."
CP.1.2,,"Manage Allergy, Intolerance and Adverse Reaction List","Manage Allergy, Intolerance and Adverse Reaction List","CP.1.2 Manage Allergy, Intolerance and Adverse Reaction List",EhrSfmManageAllergyIntoleranceAndAdverseReactionList,EhrSfmManageClinicalHistory,"Manage patient-specific allergy, intolerance and adverse reaction lists.","Allergens to substances, (including immunizations), are identified and the list of allergies is captured and maintained over time. Information regarding allergies may be coded or free text; coded information is preferred (where possible). In this function the term ""allergy"" is used to refer to allergies, intolerances, adverse reactions and sensitivities. All pertinent dates, including patient-reported events, are stored and the description of the patient allergy and adverse reaction is modifiable over time. The entire allergy history, including reaction, for any allergen is viewable. The list(s) includes all reactions including those that are classifiable as a true allergy, intolerance, side effect or other adverse reaction to drug, food or environmental triggers. Notations indicating whether item is patient reported, and/or provider verified are maintained. The term 'true allergy' is defined by the US National Library of Medicine as: an allergy that is caused by a series of chemical steps in the body that produce the allergic reaction. The allergy information that should be captured may vary according to scope of practice, organizational policy, and/or jurisdictional law. For example, the documentation requirements regarding an allergic reaction to a substance that is reportable may require a higher level of data capture."
CP.1.3,,Manage Medication List,Manage Medication List,CP.1.3 Manage Medication List,EhrSfmManageMedicationList,EhrSfmManageClinicalHistory,Create and maintain patient-specific medication lists.,"Medication lists are managed over time, whether over the course of a visit or stay, or the lifetime of a patient. The entire medication history for any medication including, over-the-counter products, alternative supplements and herbal medications, is viewable. Medication lists are not limited to provider orders/prescriptions but may also include, for example, pharmacy dispensed medications without prescription, over the counter medications and patient-reported medications, etc. All pertinent dates, including medication start, modification, and end dates are stored. Medication Lists may also include additional information such as age-specific dosage."
CP.1.4,,Manage Problem List,Manage Problem List,CP.1.4 Manage Problem List,EhrSfmManageProblemList,EhrSfmManageClinicalHistory,Create and maintain patient-specific problem lists.,"A problem list may include, but is not limited to chronic conditions, diagnoses, or symptoms, injury/poisoning (both intentional and unintentional), adverse effects of medical care (e.g., drugs, surgical), functional limitations, visit or stay-specific conditions, diagnoses, or symptoms. Problem lists are managed over time, whether over the course of a visit or stay or the life of a patient, allowing documentation of historical information and tracking the changing character of problem(s) and their priority. The source (e.g., the provider, the system id, or the patient) of the updates should be documented. All pertinent dates are stored, including date noted or diagnosed, dates of any changes in problem specification or prioritization, and date of resolution. This might include time stamps, where useful and appropriate. The entire problem history for any problem in the list is viewable."
CP.1.5,,Manage Health-Related Factors List,Manage Health-Related Factors List,CP.1.5 Manage Health-Related Factors List,EhrSfmManageHealthrelatedFactorsList,EhrSfmManageClinicalHistory,Manage patient-specific health-related factors.,"A patient's strengths (positive factors) or weaknesses (negative factors) may impact a patient's care or recovery and may be recorded as part of the EHR to support the development of care plans and treatment options. Examples of health factors include family support, financial support, health insurance levels, overall health, personal health behaviors (e.g., tobacco, physical activity, sleep), body mass index, employment status/type, access to care, or education level. Note that heath factors may be included in the Problem list (CP.1.4) which may include problems or strengths (e.g., ambulatory status or addictions). An example of an active patient-specific strength is an elderly parent receiving care from an adult child during the adult child's summer break from college. A patient's care may be affected by certain positive or negative factors. For example, coverage by insurance (a positive health factor) versus unemployment (a negative health factor)."
CP.1.6,,Manage Immunization List,Manage Immunization List,CP.1.6 Manage Immunization List,EhrSfmManageImmunizationList,EhrSfmManageClinicalHistory,Create and maintain patient-specific immunization lists.,"Immunization lists are managed over time, whether over the course of a visit or stay, or the lifetime of a patient. Details of immunizations administered are captured as discrete data elements including date, type, manufacturer and lot number. The entire immunization history is viewable."
CP.1.7,,"Manage Medical Equipment, Prosthetic/ Orthotic, Device List","Manage Medical Equipment, Prosthetic/ Orthotic, Device List","CP.1.7 Manage Medical Equipment, Prosthetic/ Orthotic, Device List",EhrSfmManageMedicalEquipmentProstheticOrthoticDeviceList,EhrSfmManageClinicalHistory,"Create and maintain a patient-specific list of medical equipment, medical prosthetic, orthotic, and/or implantable devices.","Details of medical equipment, orthotic/prosthetic, and/or devices are captured as discrete data elements including information such as device type, date issued, date implanted or manufactured, device model number, device serial/lot number, manufacturer, supplier, involved extremity, anatomical location, date of battery change, and other data elements which many be required to correctly identify and track the equipment/device. The list may link to external sources, such as the US Food and Drug Administration (FDA), so that the provider may be alerted if the medical device is recalled. The entire equipment, prosthetic, orthotic, and/or implantable device list is able to be rendered."
CP.1.8,,Manage Patient and Family Preferences,Manage Patient and Family Preferences,CP.1.8 Manage Patient and Family Preferences,EhrSfmManagePatientAndFamilyPreferences,EhrSfmManageClinicalHistory,Capture and maintain patient and family preferences.,"This function is focused on the capture and maintenance of facts on patient/family preferences. Patient and family preferences regarding issues such as language, religion, spiritual practices and culture may be important to the delivery of care. It is important to capture these so that they will be available to the provider at the point of care. Patient/Family preferences differ from social history and Advance Directives as follows: Social history refers primarily to elements of a patient's background that may impact on the patient's health (e.g., smoking, drinking, occupation, abuse, etc.). Advance Directives refers to requests regarding care when the patient is unable to competently make decisions about their own care (e.g., Do Not Resuscitate orders, living wills)."
CP.1.9,,Manage Adverse Events,Manage Adverse Events,CP.1.9 Manage Adverse Events,EhrSfmManageAdverseEvents,EhrSfmManageClinicalHistory,Capture and maintain adverse events.,"This function is focused on the capture and maintenance of adverse events that have occurred to the patient. The system should capture discrete information about the adverse event to enable the rendering Serious Adverse Event (SAE) reports according to organizational policy, and or jurisdictional law. Reporting may conform to the HL7 Individual Case Safety Reporting (ICSR)."
CP.2,,Render externally- sourced information,Render externally- sourced information,CP.2 Render externally- sourced information,EhrSfmRenderExternallySourcedInformation,EhrSfmCareProvision,Render documentation and data that has been captured from multiple external sources.,"Documentation and data relevant to the patient record can be captured from many external sources and should be rendered appropriately alongside other information in the patient record. External sources are those outside the EHR system, including clinical, administrative, and financial information systems, other EHR systems, Personal Health Record (PHR) systems, and data received through health information exchange networks."
CP.2.1,,Render externally- sourced Clinical Documents,Render externally- sourced Clinical Documents,CP.2.1 Render externally- sourced Clinical Documents,EhrSfmRenderExternallySourcedClinicalDocuments,EhrSfmRenderExternallySourcedInformation,Render clinical documentation that has been captured from multiple external sources.,Documentation relevant to the patient record can be captured from many external sources and should be rendered appropriately alongside other information in the patient record.
CP.2.2,,Render externally- sourced Data,Render externally- sourced Data,CP.2.2 Render externally- sourced Data,EhrSfmRenderExternallySourcedData,EhrSfmRenderExternallySourcedInformation,Render data that has been captured from multiple external sources.,"Data relevant to the patient record can be captured from many external sources and should be rendered appropriately alongside other information in the patient record (e.g., product labeling information should be rendered alongside the patient's record)."
CP.2.3,,Render Emergency Medical System Originated Data,Render Emergency Medical System Originated Data,CP.2.3 Render Emergency Medical System Originated Data,EhrSfmRenderEmergencyMedicalSystemOriginatedData,EhrSfmRenderExternallySourcedInformation,Render emergency medical data that has been captured from multiple external sources.,Emergency medical data relevant to the patient record can be captured from many external sources and should be rendered appropriately alongside other information in the patient record.
CP.2.4,,Render externally- sourced Clinical Images,Render externally- sourced Clinical Images,CP.2.4 Render externally- sourced Clinical Images,EhrSfmRenderExternallySourcedClinicalImages,EhrSfmRenderExternallySourcedInformation,Render clinical images that has been captured from multiple external sources.,Clinical Images relevant to the patient record can be captured from many external sources and should be rendered appropriately alongside other information in the patient record.
CP.2.5,,Manage Patient- Originated Data,Manage Patient- Originated Data,CP.2.5 Manage Patient- Originated Data,EhrSfmManagePatientOriginatedData,EhrSfmRenderExternallySourcedInformation,"Capture and explicitly label patient-originated data, link the data source with the data, and support provider authentication for inclusion in patient health record as well as subsequent rendering of the information as part of the health record","It is critically important to be able to distinguish clinically authored and authenticated data from patient-originated data that is either provided by the patient for inclusion in the EHR or entered directly into the EHR by the patient from clinically authenticated data. Patients may provide data for entry into the health record or be given a mechanism for entering this data directly. Patient-originated data intended for use by providers will be available for their use. Data about the patient may be appropriately provided by: 1. the patient; 2. a surrogate (parent, spouse, guardian) or 3. an informant (teacher, lawyer, case worker) 4. devices (e.g., blood pressure/sugar monitors). An electronic health record may provide the ability for direct data entry by any of these. Patient-originated data may also be captured by devices and transmitted for inclusion into the electronic health record. Data entered by any of these must be stored with source information. A provider must authenticate patient-originated data included in the patient's legal health record. A provider must be able to indicate they have verified the accuracy of patient-originated data (when appropriate and when a verification source is available) for inclusion in the patient record. Such verification does not have to occur at each individual data field and can be at a higher level of the data."
CP.3,Manage Clinical  Documentation,,Manage Clinical  Documentation,CP.3 Manage Clinical  Documentation,EhrSfmManageClinicalDocumentation,EhrSfmCareProvision,"Clinical Documentation must be managed including the capture of the documentation during an encounter,  maintenance and appropriate rendering.","Clinical documentation includes all documentation that the clinician may capture during the course of an encounter with the patient or relevant to the patient. This includes assessments, clinical measurements, clinical documents and notes, patient-specific care and treatment plans. Management of clinical documentation also includes the acknowledgement and amendments of documentation provided by other providers."
CP.3.1,,Conduct Assessments,Conduct Assessments,CP.3.1 Conduct Assessments,EhrSfmConductAssessments,EhrSfmManageClinicalDocumentation,Create and maintain assessment information.,"During an encounter with a patient, the provider will conduct an assessment that is germane to the age, gender, developmental or functional state, medical and behavioral condition of the patient, such as growth charts, developmental profiles, and disease specific assessments. Wherever possible, this assessment should follow industry standard protocols although, for example, an assessment for an infant will have different content than one for an elderly patient. When a specific assessment template does not exist, a new, locally-defined assessment can be created, using the format and data elements of similar assessments whenever possible. (NOTE: A new assessment may not necessarily be unique, since a facility may copy an assessment from another facility.)"
CP.3.2,,Manage Patient Clinical Measurements,Manage Patient Clinical Measurements,CP.3.2 Manage Patient Clinical Measurements,EhrSfmManagePatientClinicalMeasurements,EhrSfmManageClinicalDocumentation,"Capture and manage patient clinical measures, such as vital signs, as discrete patient data.","Within the context of an episode of care, patient measures such as vital signs are captured and managed as discrete data to facilitate reporting and provision of care. Other clinical measures (such as expiratory flow rate, size of lesion, etc.) are captured and managed, and may be discrete data."
CP.3.3,,Manage Clinical Documents and Notes,Manage Clinical Documents and Notes,CP.3.3 Manage Clinical Documents and Notes,EhrSfmManageClinicalDocumentsAndNotes,EhrSfmManageClinicalDocumentation,"Create, addend, amend, correct, authenticate, maintain, present and close, as needed, transcribed or directly-entered clinical documentation and notes.","Clinical documents and notes may be unstructured and created in a narrative form, which may be based on a template, graphic, audio, etc. The documents may also be structured documents that result from the capture of coded data. Each of these forms of clinical documentation is important and appropriate for different users and situations. To facilitate the management and documentation on how providers are responding to incoming data on orders and results, there may also be some free text or formal record on the providers’ responsibility, and/or standard choices for disposition, such as Reviewed and Filed, Recall Patient, or Future Follow Up. The system may also provide support for documenting the clinician’s differential diagnosis process."
CP.3.4,,Manage Patient-Specific Care and Treatment Plans,Manage Patient-Specific Care and Treatment Plans,CP.3.4 Manage Patient-Specific Care and Treatment Plans,EhrSfmManagePatientspecificCareAndTreatmentPlans,EhrSfmManageClinicalDocumentation,"Provide templates and forms for clinicians to use for care plans, guidelines and protocols during provision of care and care planning.","During the provision of care, the clinician reviews and uses templates and forms to ensure consistent quality patient care. Care plans, guidelines or protocols may contain goals or targets for the patient, specific guidance to the providers, suggested orders, and nursing interventions, among other items, including alerts. Information such as Order sets for care plans may arrive from an external institution and need to be approved locally before being inserted into the care plan. Tracking of implementation or approval dates, modifications and relevancy to specific domains or context is provided. Transfer of treatment and care plans may be implemented electronically using, for example, templates, or by printing plans to paper."
