en,sources,uri,de,,synonyms,synonyms_de,definition_de,definition_en,Beispiele für Softwareprodukte,softwareproducts,Aufgaben der Gesundheitsversorgung,functions (classified),"zusätzliche Aufgaben (AW, FJ)",Kommentare
Outpatient management system,Blaues Buch,MbOutpatientManagementSystem,Ambulanzmanagementsystem,MbAmbulanzmanagementsystem,,Ambulanzinformationssystem; Krankenhausambulanzsystem,"Das Ambulanzmanagementsystem dient der Organisation der ambulanten Behandlung, die während einem oder mehrerer Besuche in den Ambulanzen eines Krankenhauses, oft in Verbindung mit vergangenen oder zukünftigen stationären Aufenthalten, erfolgt. Die benötigten Features ähneln denen, die in einer Arztpraxis benötigt werden. Das Ambulanzmanagementsystem ist mit einem Medical Documentation System vergleichbar, aber der Fokus liegt mehr auf der Terminplanung und der Organisation des Arbeitsablaufes in der Ambulanz.",,x.vianova von medatixx GmbH & Co. KG,,"Termin- und Ressourcenplanung; Personalwesen; Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Administrative Entlassung und Leistungsabrechnung; Ambulante Abrechnung; Leistungsdokumentation; Zeit- und Ressourcen-Management",BbAppointmentScheduling;BbAdministrativeDischargeAndBilling; BbHumanResourceManagement; BbMedicalAdmission;BbExecutionOfDiagnosticTherapeuticAndNursingProcedures; BbWorkOrganizationAndTimeManagement;BbCodingOfDiagnosesAndProcedures,ManagementOfAnOutpatientUnit;OutpatientTreatment;WaitingRoomManagement;IssuingNotesSuchAsSickNotes;Prescribing,"wg. Aufgaben noch mal in Haas-Buch schauen (Haas, Peter (2005): Medizinische Informationssysteme und Elektronische Krankenakten. Berlin, Heidelberg: Springer.)(bei AW?)"
Pharmacy information system,"WHO-DHI, Blaues Buch",MbPharmacyInformationSystem,Apothekeninformationssystem,MbApothekeninformationssystem,,,"Das Apothekeninformationssystem unterstützt die Abläufe in (Krankenhaus-) Apotheken, den Empfang von Medikamentenanforderungen, das Management des Medikamentenbestands und die Versorgung aller Abteilungen der Einrichtung mit Medikamenten bzw den Verkauf.","Supports the workflow in pharmacies and pharmacy departments: receiving drug orders, managing the drug stock, distributing drugs throughout the facility",,,Medikamentenmanagement; Kasse; Waren/Lagerwirtschaft mit elektronischem Bestellwesen; Rezepturverwaltung und Rezepturerstellungsdokumentation; Kundenverwaltung; Elektronische Medikationsdokumentation/Arzneimittelpass; Statistik; Controlling; Finanz- und Rechnungswesen; Abrechnung,BbMaterialAndMedicationManagement,Überprüfung von Wechselwirkungen und Gegenanzeigen,
Picture archiving and communication system,,MbPictureArchivingAndCommunicationSystem,Bildarchivierungs- und Kommunikationssystem,MbBildarchivierungsUndKommunikationssystem,PACS,Bilddatenmanagementsystem,"Das Bildarchivierungs- und Kommunikationssystem organisiert und archiviert medizinische Bilddaten nach geltenden Standards. Es ist das zentrale Bildmanagementsystem in einem Einrichtung und bietet einfachen Zugriff auf die Bilddaten nach der Befundung, um diese weiter zu verarbeiten, zu präsentieren oder zwischen Abteilungen und Institutionen zu teilen. Es hat ein hohes Interoperabilitätslevel und ist besonders eng mit dem RIS verbunden.",,IMPAX EE von Dedalus; Synedra AIM von synedra IT GmbH; JiveX Enterprise PACS von VISUS Health IT GmbH; CHILI PACS von NEXUS AG,,"Durchführung radiologischer Untersuchungen; Archivierung von Bilddaten, Verwaltung, Bearbeitung und Präsentation von digitalen Bilddaten",,radiologische Befundung,
Blood bank management system,,MbBloodBankManagementSystem,Blutbankmanagementsystem,MbBlutbankmanagementsystem,,,Das Blutbankmanagementsystem unterstützt die Verwaltung von Blutkonserven und die Organisation des Blutspendedienstes.,,,,Unterstützung des Blutspendediensts; Durchführung von Blutanalysen; Ausliefern von Blutkonserven,,,
Coding System,,MbCodingSystem,Codiersystem,MbCodiersystem,,Kodierwerkzeug; Leistungskodierung; DRG-Managementsystem,Das Codier-System ist oft in andere Anwendungssysteme integriert und sorgt für die schnelle und sichere Dokumentation klinischer Leistungen durch Diagnose- und Behandlungscodes unter Einhaltung der gesetzlichen Vorgaben.,,ID DIACOS® von ID Suisse AG; 3M 360 Encompass von 3M Health Information Systems,,Kodieren von Diagnosen und Prozeduren,, Leistungsabrechnung,
Clinical data warehouse,,MbClinicalDataWarehouse,Clinical data warehouse,MbClinicalDataWarehouse,,,Daten werden aus anderen Anwendungssystemen in das Data Warehouse importiert und dort in strukturierter Form abgelegt und ausgewertet. Das Clinical Data Warehouse unterstützt Aufgaben der Patientenbehandlung und der medizinischen Forschung.,,AI-powered clinical data platform von LynxCare,,,,Durchführung von klinischen Studien und Experimenten; Patientenbehandlung,
Business Intelligence System,,,Business Intelligence System,,,,Daten werden aus anderen Anwendungssystemen in das Data Warehouse importiert und dort in strukturierter Form abgelegt und ausgewertet. Das Business Intelligence System unterstützt Entscheidungen des Krankenhausmanagements.,,,,Krankenhausverwaltung; ,, Controlling; Management des Krankenhauses,
Dialysis information system,Blaues Buch,MbDialysisInformationSystem,Dialyseinformationssystem,MbDialyseinformationssystem,,,"Das Dialyseinformationssystem bietet ähnliche Funktionalität wie ein Klinisches Informationssystem, mit Fokus auf die Bedürfnisse einer Dialyseabteilung. Es ist mit den Hämodialyse-Geräten integriert.",,,,"Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen; Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Termin- und Ressourcenplanung; Administrative Entlassung und Leistungsabrechnung; Leistungsanforderung",,Durchführung der Dialyse,
Health information platform,,MbHealthInformationPlatform,Klinisches Datenspeichersystem,MbKlinischesDatenspeichersystem,"Shared health record and health information repositories, Clinical data repository; open platform",IOP-Plattform; Interoperabilitäts-Plattform,"Die Health Information Platform bewältigt den digitalen Austausch großer Mengen von Behandlungsinformationen als strukturierte Daten und sorgt für eine sichere Kommunikation mit anderen Krankenhäusern, Patient:innen, Forscher:innen und Krankenkassen. Diese können für die Forschung oder Abrechnung weiterverarbeitet werden oder sofort zur Weiterbehandlung der Patient:innen genutzt werden.",,Better Platform von Better; JiveX Healthcare Connect von VISUS,,"Austausch von Patientendaten, ",,Bereitstellung von Patientendaten,
Clinical information system,Blaues Buch,MbClinicalInformationSystem,Klinisches Informationssystem,MbKlinischesInformationssystem,"EMR system, Electronic Medical Record System, CIS; Electronic Patient Record System; EPR",Digitale Krankenakte; Elektronische Patientenakte; Elektronische Fallakte; Digitale Patientendokumentation; Digitale Behandlungsdokumentation; Elektronische Dokumentation von Behandlungsleistungen; Digitale Patientenakte; Klinisches Arbeitsplatzsystem; KAS; Krankenhausinformationssystem; KIS,"Das Klinische Informationssystem setzt sich aus dem Medizinischen Dokumentationssystem, dem Pflegerischen Dokumentationssystem sowie ggf. dem Leistungsanforderungssystem und dem Ambulanzmanagementsystem zusammen. Es unterstützt klinische Workflows, bietet umfassende Dokumentationsmöglichkeiten und fasst Dokumente, Bilddaten und strukturierte medizinische Daten zusammen. Es steht allen an der Patientenversorgung Beteiligten jederzeit zur Verfügung und stellt individuelle Sichten auf die Daten der Patient:innen bereit (elektronische Patientenakte).",,RECOM GRIPS von Thieme;i.s.h.med von Cerner; ORBIS von Agfa Healthcare; Soarian Clinical von Siemens AG; iMedOne von Telekom Healthcare Solutions; CLINIXX KIS von AMC Holding GmbH; M-KIS Next von Meierhofer AG; CGM MEDICO von CompuGroup Medical Deutschland AG,,"Ärztliche und pflegerische Behandlungsplanung; Dokumentation von Diagnostischen, therapeutischen oder pflegerische Maßnahmen; Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen; Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Termin- und Ressourcenplanung; Administrative Entlassung und Leistungsabrechnung; Leistungsanforderung",,,
