en,uri
Qt,Qt
Swing,Swing
OpenGL,OpenGl
wxWidgets,WxWidgets
Angular JS,AngularJs
Cocoa,Cocoa
Django,Django
Grails,Grails
Android SDK,AndroidSdk
jQuery,JQuery
Maven,Maven
Mono,Mono
SWT,Swt
GTK,Gtk
GTK+,GtkPlus
JSP,Jsp
wxPython,WxPython
Ajax,Ajax
AndroMDA,AndroMda
ASP.NET,AspNet
BOOST,Boost
Bootstrap,Bootstrap
Camel,Camel
CMGUI,CmGui
DCMTK,Dcmtk
Dojo,Dojo
Drupal,Drupal
Ember,Ember
FileMaker Pro,FilemakerPro
GD Library,GdLibrary
ITK,Itk
Java AWT,JavaAwt
Java Swing,JavaSwing
JBoss,JBoss
JBoss Drools,JBossDrools
Matplotlib,Matplotlib
MITK,Mitk
Mule ESB,MuleEsb
Netgen,Netgen
Perl DBI,PerlDbi
jQuery,JQuery
PIL,Pil
Prototype.js,PrototypeJs
pydicom,Pydicom
PyQt4,PyQt4
Sencha,Sencha
Smarty,Smarty
Tryton,Tryton
VTK,Vtk
Web2Py,Web2Py
Zope,Zope
