n,en,uri,super,supertype,synonyms,comment
,,,,,,
1.1,Targeted client communication,WhoDhiTargetedClientCommunication,,,,"Transmission of targeted health information “in which separate audience segments (often demographic categories) benefit from a shared message.” Targeted communication can also be further customized according to an individual’s specific needs, resulting in “tailored client communication,” whereby message content is matched to the needs and preferences of an individual. The communication can be unidirectional and bidirectional, but initial contact is from the health system; as opposed to on-demand information service where the client initiates the first contact to the health system.  "
1.2,Untargeted client communication,WhoDhiUntargetedClientCommunication,,,,"Transmission of untargeted health promotion content “in which in which relatively large, undifferentiated audiences receive identical messages.” This includes message blasts usually conducted to a mobile phone user bank. The communication can be unidirectional and bidirectional.  "
1.3,Client to client communication,WhoDhiClientToClientCommunication,,,,Communication between clients as peers within an organized network/group.
1.4,Personal health tracking,WhoDhiPersonalHealthTracking,,,,"The use of mobile applications by clients, phone based sensors, health records, and wearables for clients to monitor their own health status. This can include wearable sensors, web-tools, and apps that allow clients to review and track their health status."
1.5,Citizen based reporting,WhoDhiCitizenBasedReporting,,,,"Digital platforms, including social media, that enable clients to report on public health events, as well as experiences, issues, and satisfaction with health services."
1.6,On-demand information services to clients,WhoDhiOndemandInformationServicesToClients,,,,"Health information accessible to the general public triggered by the client. This could be available via websites, helplines, USSD/ SMS menus, or client applications, among other channels, that may inform decision-making. "
1.7,Client financial transactions,WhoDhiClientFinancialTransactions,,,,Digital approaches to facilitate financial transactions for clients. These digital financial transactions can be used to facilitate conditional cash transfers and payments related to health service delivery.
1.1.1,Transmit health event alerts to specific population group(s),WhoDhiTransmitHealthEventAlertsToSpecificPopulationGroups,WhoDhiTargetedClientCommunication,FeatureClassified,public health event notification;disease notification to specific or pre-identified populations;notification of health events to specific populations based on demographic characteristics;health promotion messaging ,
1.1.2,Transmit targeted health information to client based on health status or demographics,WhoDhiTransmitTargetedHealthInformationToClientBasedOnHealthStatusOrDemographics,WhoDhiTargetedClientCommunication,FeatureClassified,health education;behavior change communication;health promotion communication;client-centered messaging;health communication based on a known client’s health status or clinical history ,
1.1.3,Transmit targeted alerts and reminders to client(s),WhoDhiTransmitTargetedAlertsAndRemindersToClients,WhoDhiTargetedClientCommunication,FeatureClassified,"alerts for preventive services and wellness;notifications and reminders for appointments, medication adherence, or follow-up services;communication for retention in care;continuity of care ",
1.1.4,"Transmit diagnostics result, or availability of result, to clients",WhoDhiTransmitDiagnosticsResultOrAvailabilityOfResultToClients,WhoDhiTargetedClientCommunication,FeatureClassified,laboratory results management;tests results management,
1.2.1,Transmit untargeted health information to an undefined population,WhoDhiTransmitUntargetedHealthInformationToAnUndefinedPopulation,WhoDhiUntargetedClientCommunication,FeatureClassified,mass messaging campaign or communication to an undefined target group;health messaging to undefined target group regardless of demographic characteristics or health status,
1.2.2,Transmit untargeted health event alerts to undefined group,WhoDhiTransmitUntargetedHealthEventAlertsToUndefinedGroup,WhoDhiUntargetedClientCommunication,FeatureClassified,public health event notification;disease notification;mass messaging campaign,
1.3.1,Peer group for clients,WhoDhiPeerGroupForClients,WhoDhiClientToClientCommunication,FeatureClassified,peer learning;peer group;peer-to-peer groups;peer network;peer support,
1.4.1,Access by client to own medical records,WhoDhiAccessByClientToOwnMedicalRecords,WhoDhiPersonalHealthTracking,FeatureClassified,self-access to client health record;patient’s own access to their health record;ability for clients to track their health history,
1.4.2,Self monitoring of health or diagnostic data by client,WhoDhiSelfMonitoringOfHealthOrDiagnosticDataByClient,WhoDhiPersonalHealthTracking,FeatureClassified,personal health monitoring;self-tracking;self-care;self-monitoring;sensors and wearables for personal health monitoring;client’s health data is collected based on a machine a client uses on their own,
1.4.3,Active data capture/documentation by client,WhoDhiActiveDataCapturedocumentationByClient,WhoDhiPersonalHealthTracking,FeatureClassified,personal health monitoring;self-tracking;self-care;self-monitoring;journaling;capture patient originated data;client documentation of health status and activities  ,
1.5.1,Reporting of health system feedback by clients,WhoDhiReportingOfHealthSystemFeedbackByClients,WhoDhiCitizenBasedReporting,FeatureClassified,"public reporting on health system issues, such as the availability and quality of services received; interaction with health worker; satisfaction with services; accountability monitoring; accountability reporting; crowdsourced feedback; patient/client feedback; quality of care feedback ",
1.5.2,Reporting of public health events by client,WhoDhiReportingOfPublicHealthEventsByClient,WhoDhiCitizenBasedReporting,FeatureClassified,surveillance notification; disease notification; client reporting,
1.6.1,Client look-up of health information,WhoDhiClientLookupOfHealthInformation,WhoDhiOndemandInformationServicesToClients,FeatureClassified,client searches or looks up information on a health topic; decision support for clients ,
1.7.1,Transmit or manage out of pocket payments by client,WhoDhiTransmitOrManageOutOfPocketPaymentsByClient,WhoDhiClientFinancialTransactions,FeatureClassified,"mobile money payments directly made by client (this can include payments for any health services such as emergency transportation, health fees, etc)",
1.7.2,Transmit or manage vouchers to client for health services,WhoDhiTransmitOrManageVouchersToClientForHealthServices,WhoDhiClientFinancialTransactions,FeatureClassified,"health voucher issuance (e.g. for mosquitonets, for transport, etc) and redemption services",
1.7.3,Transmit or manage incentives to clients for health services,WhoDhiTransmitOrManageIncentivesToClientsForHealthServices,WhoDhiClientFinancialTransactions,FeatureClassified,cash transfers to clients conditional on health related behaviours,
