n,en,uri,super,supertype,synonyms,comment
4.1,"Data collection, management, and use",WhoDhiDataCollectionManagementAndUse,,,,"Digital approaches to data collection, management, analysis, storage. This can include standalone interventions focusing exclusively on data collection and management, as well as data services to support other interventions, such as data visualization within supply chain management.  "
4.2,Data coding,WhoDhiDataCoding,,,,Digital approaches to code data and manage the use of standardized datasets.
4.3,Location mapping,WhoDhiLocationMapping,,,,The use of geolocation coordinates to map objects and events. 
4.4,Data exchange and interoperability    ,WhoDhiDataExchangeAndInteroperability,,,,The capability of two or more systems to communicate and exchange data through specified data formats and communication protocols.
4.1.1,Non routine data collection and management,WhoDhiNonRoutineDataCollectionAndManagement,WhoDhiDataCollectionManagementAndUse,FeatureClassified,"electronic data collection; digital data collection; mobile based surveys, using applications such as OpenDataKit (ODK), Enketo, FormHub, etc.",
4.1.2,Data storage and aggregation,WhoDhiDataStorageAndAggregation,WhoDhiDataCollectionManagementAndUse,FeatureClassified,data warehouse;repository,
4.1.3,Data synthesis and visualization,WhoDhiDataSynthesisAndVisualization,WhoDhiDataCollectionManagementAndUse,FeatureClassified,reporting dashboards; report generation;presentations of data;business intelligence,
4.1.4,Automated analysis of data to generate new information or predictions on future events,WhoDhiAutomatedAnalysisOfDataToGenerateNewInformationOrPredictionsOnFutureEvents,WhoDhiDataCollectionManagementAndUse,FeatureClassified,predictive analytics;machine learning;artificial intelligence,
4.2.1,Parse unstructured data into structured data,WhoDhiParseUnstructuredDataIntoStructuredData,WhoDhiDataCoding,FeatureClassified,dirty data management;automated data cleaning,
4.2.2,"Merge, de-duplicate, and curate coded datasets or terminologies",WhoDhiMergeDeduplicateAndCurateCodedDatasetsOrTerminologies,WhoDhiDataCoding,FeatureClassified,maintenance and versioning of health informatics terminology standards;terminology services;semantic interoperability,
4.2.3,Classify disease codes or cause of mortality,WhoDhiClassifyDiseaseCodesOrCauseOfMortality,WhoDhiDataCoding,FeatureClassified,"recording cause of death;ICD coding;clinical coding for reporting and insurance;mapping local terminology, codes, and formats",
4.3.1,Map location of health facilities/structures,WhoDhiMapLocationOfHealthFacilitiesstructures,WhoDhiLocationMapping,FeatureClassified,Global Positioning System (GPS) mapping,
4.3.2,Map location of health events,WhoDhiMapLocationOfHealthEvents,WhoDhiLocationMapping,FeatureClassified,Geospatial visualization;GPS mapping,
4.3.3,Map location of clients and households,WhoDhiMapLocationOfClientsAndHouseholds,WhoDhiLocationMapping,FeatureClassified,demarcation of catchment areas;mapping coverage areas;geospatial visualization;GPS mapping;mapping of health worker route to track the services provided,
4.3.4,Map location of healthcare provider(s),WhoDhiMapLocationOfHealthcareProviders,WhoDhiLocationMapping,FeatureClassified,mapping of health worker route to track the services provided,
4.4.1,Data exchange across systems,WhoDhiDataExchangeAcrossSystems,WhoDhiDataExchangeAndInteroperability,FeatureClassified,data mediation;interoperability and accessibility;information exchange;interoperability layer;data orchestration,
