n,en,uri,super,supertype,synonyms
4.1.1,Non routine data collection and management,WhoDhiNonRoutineDataCollectionAndManagement,DataCollectionManagementAndUse,FeatureClassified,"electronic data collection; digital data collection; mobile based surveys, using applications such as OpenDataKit (ODK), Enketo, FormHub, etc"
4.1.2,Data storage and aggregation,WhoDhiDataStorageAndAggregation,DataCollectionManagementAndUse,FeatureClassified,data warehouse;repository
4.1.3,Data synthesis and visualization,WhoDhiDataSynthesisAndVisualization,DataCollectionManagementAndUse,FeatureClassified,reporting dashboards; report generation;presentations of data;business intelligence
4.1.4,Automated analysis of data to generate new information or predictions on future events,WhoDhiAutomatedAnalysisOfDataToGenerateNewInformationOrPredictionsOnFutureEvents,DataCollectionManagementAndUse,FeatureClassified,predictive analytics;machine learning;artificial intelligence
4.2.1,Parse unstructured data into structured data,WhoDhiParseUnstructuredDataIntoStructuredData,DataCoding,FeatureClassified,dirty data management;automated data cleaning
4.2.2,"Merge, de-duplicate, and curate coded datasets or terminologies",WhoDhiMergeDeduplicateAndCurateCodedDatasetsOrTerminologies,DataCoding,FeatureClassified,maintenance and versioning of health informatics terminology standards;terminology services;semantic interoperability
4.2.3,Classify disease codes or cause of mortality,WhoDhiClassifyDiseaseCodesOrCauseOfMortality,DataCoding,FeatureClassified,"recording cause of death;ICD coding;clinical coding for reporting and insurance;mapping local terminology, codes, and formats"
4.3.1,Map location of health facilities/structures,WhoDhiMapLocationOfHealthFacilitiesstructures,LocationMapping,FeatureClassified,Global Positioning System (GPS) mapping
4.3.2,Map location of health events,WhoDhiMapLocationOfHealthEvents,LocationMapping,FeatureClassified,Geospatial visualization;GPS mapping
4.3.3,Map location of clients and households,WhoDhiMapLocationOfClientsAndHouseholds,LocationMapping,FeatureClassified,demarcation of catchment areas;mapping coverage areas;geospatial visualization;GPS mapping;mapping of health worker route to track the services provided
4.3.4,Map location of healthcare provider(s),WhoDhiMapLocationOfHealthcareProviders,LocationMapping,FeatureClassified,mapping of health worker route to track the services provided
4.4.1,Data exchange across systems,WhoDhiDataExchangeAcrossSystems,DataExchangeAndInteroperability,FeatureClassified,data mediation;interoperability and accessibility;information exchange;interoperability layer;data orchestration
